strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_market_cap,entry_avg_trading_value_20d,entry_signal_close,entry_market_cap_pass,entry_trading_value_pass,entry_close_pass,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_state,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,loss_guard_triggered,loss_guard_signal_date,loss_guard_signal_close,loss_guard_return_at_signal,loss_guard_execution_date,loss_guard_execution_price,loss_guard_realized_return,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,holding_trading_days,holding_weeks,trade_status,cutoff_date,cutoff_valuation_price,mark_to_cutoff_return,entry_signal_information_date,entry_filter_raw_date,identity_effective_from,identity_effective_to,entry_fundamentals_gate_pass,entry_latest_fy,entry_annual_revenue,entry_annual_operating_income,entry_latest_quarter,entry_quarter_revenue,entry_quarter_operating_income,entry_revenue_yoy_pct,entry_operating_income_yoy_pct,entry_operating_income_growth_mode,fundamental_exit_triggered,fundamental_exit_primary_type,fundamental_exit_all_flags,fundamental_exit_signal_information_date,fundamental_exit_execution_date,fundamental_exit_accelerated,abc_entry_pass,abc_latest_fy,abc_annual_revenue,abc_annual_operating_income,abc_latest_quarter,abc_quarter_revenue,abc_quarter_operating_income,abc_revenue_yoy,abc_oi_growth_mode,abc_oi_yoy,fundamental_exit_type,fundamental_exit_signal_date,fundamental_exit_a,fundamental_exit_b,fundamental_exit_c,fastcore_exit_candidate_type,fastcore_exit_candidate_execution_date,primary_exit_source
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000660,KR7000660001,SK하이닉스,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000660_KR7000660001_KOSPI_01,1,2022-03-04,2022-03-07,119000.0,90636294442500.0,530579332144.45,124500.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.04,READY,2024-03-31,2024-03-29,NORMAL_EARLY_TREND_HANDOFF,True,2022-06-13,99000.0,-16.81,2022-06-14,96900.0,-18.57,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-13,2022-06-14,96900.0,-18.57,5.04,-18.57,23.61,68,13.6,REALIZED,,,,2022-03-04,2022-03-04,2010-01-04,2026-08-21,True,2020,31900418000000,5012624000000,2021Q3,11805324000000,4171821000000,45.228963,220.438017,YOY_PERCENT,False,,,,,False,True,2020,31900418000000,5012624000000,2021Q3,11805324000000,4171821000000,45.228963,YOY_PERCENT,220.438017,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-14,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000880,KR7000880005,한화,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000880_KR7000880005_KOSPI_01,1,2021-08-27,2021-08-30,42556.0,2631051598500.0,24314779332.5,35100.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2021-08-31,2021-08-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-11,2023-08-14,33613.0,-21.01,5.22,-35.26,26.23,484,96.8,REALIZED,,,,2021-08-27,2021-08-27,2010-01-04,2026-08-21,True,2020,50926451000000,1582045000000,2021Q2,12677141000000,768972000000,15.203462,53.385168,YOY_PERCENT,True,FUNDAMENTAL_B_SHARP_DECLINE,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-11,2023-08-14,True,True,2020,50926451000000,1582045000000,2021Q2,12677141000000,768972000000,15.203462,YOY_PERCENT,53.385168,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-11,False,True,False,,,FUNDAMENTAL
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000990,KR7000990002,DB하이텍,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000990_KR7000990002_KOSPI_01,1,2025-09-19,2025-09-22,57800.0,2592877539200.0,16466450942.5,58400.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2026-01-31,2026-01-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-28,2026-03-03,93600.0,61.94,96.37,-9.34,34.43,105,21.0,REALIZED,,,,2025-09-19,2025-09-19,2010-01-04,2026-08-21,True,2024,1131167709804,190838683363,2025Q2,337406491433,73842437551,13.076528,9.474114,YOY_PERCENT,False,,,,,False,True,2024,1131167709804,190838683363,2025Q2,337406491433,73842437551,13.076528,YOY_PERCENT,9.474114,,,False,False,False,EXIT4_SCORE_DRAWDOWN_GE_15,2026-03-03,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001040,KR7001040005,CJ,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001040_KR7001040005_KOSPI_01,1,2023-01-06,2023-01-09,81800.0,2357501438400.0,4412405600.0,80800.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,70.79,READY,2024-06-30,2024-06-28,NORMAL_EARLY_TREND_HANDOFF,True,2023-06-29,68500.0,-16.26,2023-06-30,68000.0,-16.87,LOSS_GUARD_CLOSE_LE_NEG_15,2023-06-29,2023-06-30,68000.0,-16.87,40.71,-17.24,57.58,118,23.6,REALIZED,,,,2023-01-06,2023-01-06,2010-01-04,2026-08-21,True,2021,34484026554000,1881800099000,2022Q3,10891501269000,640046133000,23.030654,28.637673,YOY_PERCENT,False,,,,,False,True,2021,34484026554000,1881800099000,2022Q3,10891501269000,640046133000,23.030654,YOY_PERCENT,28.637673,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2023-06-30,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001060,KR7001060003,JW중외제약,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001060_KR7001060003_KOSPI_01,1,2022-03-25,2022-03-28,27624.0,646491061150.0,16270432782.5,29150.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,70.99,READY,2023-09-30,2023-09-27,NORMAL_EARLY_TREND_HANDOFF,True,2022-05-12,23433.0,-15.17,2022-05-13,23670.0,-14.31,LOSS_GUARD_CLOSE_LE_NEG_15,2022-05-12,2022-05-13,23670.0,-14.31,6.72,-16.21,21.03,33,6.6,REALIZED,,,,2022-03-25,2022-03-25,2010-01-04,2026-08-21,True,2021,606584944778,31199849285,2021Q4,169469322945,12260370288,17.108287,179.895822,YOY_PERCENT,False,,,,,False,True,2021,606584944778,31199849285,2021Q4,169469322945,12260370288,17.108287,YOY_PERCENT,179.895822,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2022-05-13,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001060,KR7001060003,JW중외제약,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001060_KR7001060003_KOSPI_02,2,2023-05-12,2023-05-15,23441.0,543473856800.0,4620392715.0,23800.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,67.29,READY,2023-09-30,2023-09-27,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2023-10-31,2023-11-01,25991.0,10.88,119.67,-7.74,108.79,115,23.0,REALIZED,,,,2023-05-12,2023-05-12,2010-01-04,2026-08-21,True,2022,684351099249,62960870729,2022Q4,193159030794,28680221946,13.978759,133.92623,YOY_PERCENT,False,,,,,False,True,2022,684351099249,62960870729,2022Q4,193159030794,28680221946,13.978759,YOY_PERCENT,133.92623,,,False,False,False,EXIT4_SCORE_DRAWDOWN_GE_15,2023-11-01,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001060,KR7001060003,JW중외제약,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001060_KR7001060003_KOSPI_03,3,2025-11-28,2025-12-01,26250.0,606598476500.0,2223031517.5,26050.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,,,NEVER_PROGRESSED,True,2026-07-29,22000.0,-16.19,2026-07-30,21600.0,-17.71,LOSS_GUARD_CLOSE_LE_NEG_15,2026-07-29,2026-07-30,21600.0,-17.71,49.52,-17.9,67.23,162,32.4,REALIZED,,,,2025-11-28,2025-11-28,2010-01-04,2026-08-21,True,2024,719375756340,82488136816,2025Q3,200016261055,32027857746,11.956683,20.680125,YOY_PERCENT,False,,,,,False,True,2024,719375756340,82488136816,2025Q3,200016261055,32027857746,11.956683,YOY_PERCENT,20.680125,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2026-07-30,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001120,KR7001120005,LX인터내셔널,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001120_KR7001120005_KOSPI_01,1,2025-07-04,2025-07-07,30300.0,1176366000000.0,9672118500.0,30350.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.54,READY,2026-05-31,2026-05-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2025-11-14,2025-11-17,30800.0,1.65,14.03,-6.11,12.38,90,18.0,REALIZED,,,,2025-07-04,2025-07-04,2010-01-04,2026-08-21,True,2024,16637572685167,489185373375,2025Q1,4048339780466,116876130436,7.209761,5.571853,YOY_PERCENT,True,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2025-11-14,2025-11-17,True,True,2024,16637572685167,489185373375,2025Q1,4048339780466,116876130436,7.209761,YOY_PERCENT,5.571853,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2025-11-14,False,False,True,,,FUNDAMENTAL
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001130,KR7001130004,대한제분,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001130_KR7001130004_KOSPI_01,1,2022-04-01,2022-04-04,18500.0,308425000000.0,2215812600.0,182500.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,,,NEVER_PROGRESSED,True,2022-06-14,15400.0,-16.76,2022-06-15,15400.0,-16.76,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-14,2022-06-15,15400.0,-16.76,8.92,-17.57,25.68,50,10.0,REALIZED,,,,2022-04-01,2022-04-01,2010-01-04,2026-08-21,True,2021,1111341734130,24960181509,2021Q4,314052785117,1292218701,26.958246,-136.282815,TURNAROUND_TO_PROFIT,False,,,,,False,True,2021,1111341734130,24960181509,2021Q4,314052785117,1292218701,26.958246,TURNAROUND_TO_PROFIT,-136.282815,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-15,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001390,KR7001390004,KG케미칼,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001390_KR7001390004_KOSPI_01,1,2025-11-28,2025-12-01,5500.0,374525648800.0,5857894711.25,5470.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,75.49,READY,,,NEVER_PROGRESSED,True,2026-03-04,4570.0,-16.91,2026-03-05,4810.0,-12.55,LOSS_GUARD_CLOSE_LE_NEG_15,2026-03-04,2026-03-05,4810.0,-12.55,11.45,-19.0,24.0,62,12.4,REALIZED,,,,2025-11-28,2025-11-28,2010-01-04,2026-08-21,True,2024,8863142439982,318801578803,2025Q3,2462627764021,90212045842,14.74176,1145.853735,YOY_PERCENT,False,,,,,False,True,2024,8863142439982,318801578803,2025Q3,2462627764021,90212045842,14.74176,YOY_PERCENT,1145.853735,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2026-03-05,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001440,KR7001440007,대한전선,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001440_KR7001440007_KOSPI_01,1,2024-05-03,2024-05-07,13190.0,2438730684000.0,190162498234.5,13080.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,75.74,READY,2025-11-30,2025-11-28,NORMAL_EARLY_TREND_HANDOFF,True,2024-09-05,11000.0,-16.6,2024-09-06,11090.0,-15.92,LOSS_GUARD_CLOSE_LE_NEG_15,2024-09-05,2024-09-06,11090.0,-15.92,58.83,-17.29,74.75,86,17.2,REALIZED,,,,2024-05-03,2024-05-03,2010-01-04,2026-08-21,True,2023,2843980012000,79823888000,2023Q4,755635256000,20747130000,15.552762,5.645547,YOY_PERCENT,False,,,,,False,True,2023,2843980012000,79823888000,2023Q4,755635256000,20747130000,15.552762,YOY_PERCENT,5.645547,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2024-09-06,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,001680,KR7001680008,대상,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001680_KR7001680008_KOSPI_01,1,2021-05-28,2021-05-31,29550.0,1023849138750.0,18780966430.0,29550.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.74,READY,,,NEVER_PROGRESSED,True,2021-08-19,24500.0,-17.09,2021-08-20,24500.0,-17.09,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-19,2021-08-20,24500.0,-17.09,2.88,-17.26,19.97,59,11.8,REALIZED,,,,2021-05-28,2021-05-28,2010-01-04,2026-08-21,True,2020,3113203668119,174391508086,2021Q1,816645224781,54473007616,8.055519,9.321362,YOY_PERCENT,False,,,,,False,True,2020,3113203668119,174391508086,2021Q1,816645224781,54473007616,8.055519,YOY_PERCENT,9.321362,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,FASTCORE
