sample_id,ticker,reference_date,human_label,failure_type,fast_stage,fast_score,pattern_a_stage,pattern_a_candidate_active,evidence,severity,interpretation,production_rule_change_recommended
000050_20251024,000050,2025-10-24,TOO_EARLY,NO_CLEAR_FAILURE,WATCH,43.02,base,False,reference status=NEITHER_ACTIVE_AT_REFERENCE; catchup=NEITHER_ACTIVE_AT_REFERENCE,DESCRIPTIVE,research evidence only; no contract retuning,NO
009150_20260327,009150,2026-03-27,TOO_EXTENDED,PATTERN_A_NO_CATCHUP,EXTENDED,59.91,progressed,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
009470_20250627,009470,2025-06-27,FALSE_TRIGGER,NO_CLEAR_FAILURE,WATCH,48.26,weak,False,reference status=NEITHER_ACTIVE_AT_REFERENCE; catchup=NEITHER_ACTIVE_AT_REFERENCE,DESCRIPTIVE,research evidence only; no contract retuning,NO
009730_20260327,009730,2026-03-27,NO_SETUP,PATTERN_A_NO_CATCHUP,WATCH,33.21,weak,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
009830_20250328,009830,2025-03-28,BORDERLINE_TRIGGER,FAST_LOW_SCORE_GOOD_OUTCOME,SETUP,40.01,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
009830_20250328,009830,2025-03-28,BORDERLINE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,40.01,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
011070_20200925,011070,2020-09-25,GOOD_TRIGGER,PATTERN_A_ALREADY_ACTIVE,SETUP,71.61,transition,True,reference status=BOTH_ACTIVE_AT_REFERENCE; catchup=PATTERN_A_ALREADY_ACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
011070_20200925,011070,2020-09-25,GOOD_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,71.61,transition,True,reference status=BOTH_ACTIVE_AT_REFERENCE; catchup=PATTERN_A_ALREADY_ACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
011200_20221223,011200,2022-12-23,TOO_EARLY,FAST_TOO_EARLY_CONTEXT,SETUP,68.36,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
011200_20221223,011200,2022-12-23,TOO_EARLY,PATTERN_A_NO_CATCHUP,SETUP,68.36,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
011200_20221223,011200,2022-12-23,TOO_EARLY,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,68.36,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
011210_20180629,011210,2018-06-29,TOO_EARLY,PATTERN_A_NO_CATCHUP,WATCH,35.31,weak,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
011210_20180629,011210,2018-06-29,TOO_EARLY,FAST_DIRECT_JUMP_NO_TRIGGER,WATCH,35.31,weak,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
011330_20260327,011330,2026-03-27,NO_SETUP,PATTERN_A_NO_CATCHUP,WATCH,26.65,weak,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
012170_20250328,012170,2025-03-28,NO_SETUP,DATA_UNAVAILABLE,WATCH,47.75,,,reference status=PATTERN_A_ONLY_AT_REFERENCE; catchup=DATA_UNAVAILABLE,DESCRIPTIVE,research evidence only; no contract retuning,NO
012450_20230630,012450,2023-06-30,GOOD_TRIGGER,PATTERN_A_NO_CATCHUP,EXTENDED,77.11,progressed,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
032580_20260327,032580,2026-03-27,TOO_EARLY,FAST_TOO_EARLY_CONTEXT,SETUP,41.06,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
032820_20251226,032820,2025-12-26,GOOD_TRIGGER,PATTERN_A_NO_CATCHUP,EXTENDED,64.51,progressed,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
032820_20260327,032820,2026-03-27,TOO_LATE,FAST_TOO_LATE_CONTEXT,EXTENDED,58.6,progressed,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
032820_20260327,032820,2026-03-27,TOO_LATE,PATTERN_A_NO_CATCHUP,EXTENDED,58.6,progressed,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
034220_20200925,034220,2020-09-25,FALSE_TRIGGER,FAST_FALSE_TRIGGER_CONTEXT,SETUP,60.81,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
034220_20200925,034220,2020-09-25,FALSE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,60.81,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
036170_20251226,036170,2025-12-26,GOOD_TRIGGER,NO_CLEAR_FAILURE,SETUP,54.62,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
