ticker,name,market,asset_type,as_of,official_stage,candidate_state,pattern_a_score,close,market_cap,market_cap_eok,shares_outstanding,avg_trading_value_20d,avg_trading_value_20d_eok,median_trading_value_20d,avg_trading_value_60d,avg_trading_value_60d_eok,median_trading_value_60d,trading_days_20d,trading_days_60d,data_ready,missing_reason,review_status,manual_pattern_fit,manual_stage_fit,manual_notes
013030,하이록코리아,KOSDAQ,COMMON,2026-08-14,transition,candidate,71.71952491654082,33650.0,395998045600.0,3959.98,11768144,1392055650.0,13.92,1298510325.0,1409640211.6666667,14.1,1346752462.5,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly decline ended. Sufficient base. Long MAs rising. Historical high was reached and price later corrected. Current around 33,000 KRW, which was a previous long term resistance area. Weekly lows are slightly rising. MA20 is falling but longer MAs remain bullish. 33,000 KRW looks like a possible support zone. Large structure remains alive. Could represent a new departure after correction. Acceptable TRANSITION."
017650,대림제지,KOSDAQ,COMMON,2026-08-14,transition,candidate,84.28486401555422,10380.0,91188300000.0,911.88,8785000,149699733.5,1.5,76212845.0,132104314.0,1.32,78970930.0,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly decline ended. Sufficient base. Long MAs tangled. Current around 10,000 KRW versus resistance around 11,000 KRW. Weekly lows rising. MA alignment transitioning. Price steadily approaching resistance. Very representative TRANSITION. A breakout and support above 11,000 KRW could move it to EARLY_TREND."
017890,한국알콜,KOSDAQ,COMMON,2026-08-14,transition,candidate,87.68532182244246,14490.0,299559101940.0,2995.59,20673506,1555680310.5,15.56,971806885.0,1223224357.6666667,12.23,761732935.0,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly decline ended. Base formed. Long MAs rising. Current around 14,400 KRW versus resistance around 15,000 KRW. Weekly lows rising. MA alignment transitioning. Steady approach to resistance. Representative TRANSITION."
018120,진로발효,KOSDAQ,COMMON,2026-08-14,transition,candidate,72.4927554412594,16800.0,111234816000.0,1112.35,6621120,19090276.25,0.19,19201465.0,35290074.0,0.35,29993765.0,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"Monthly long decline has not ended. No sufficient base. Long MAs falling. Even the bottom structure is still falling. Current around 16,800 KRW versus resistance around 20,000 KRW. Monthly rejection. Closer to BASE or WEAK."
021320,KCC건설,KOSDAQ,COMMON,2026-08-14,transition,candidate,72.25406216673014,5750.0,123050000000.0,1230.5,21400000,98294088.25,0.98,98102050.0,196365218.78333333,1.96,146362421.0,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"Monthly long decline has not ended. No base. Long MAs falling. Current around 5,700 KRW versus resistance around 8,000 KRW. Monthly rejection. Closer to BASE or WEAK."
026910,광진실업,KOSDAQ,COMMON,2026-08-14,transition,candidate,62.58989383388831,4535.0,35954958410.0,359.55,7928326,410362212.35,4.1,312841140.0,1183360011.7833333,11.83,631233216.0,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"End of monthly decline is ambiguous. No sufficient base. MAs tangled. Recent move is a simple sharp rebound. Current around 4,500 KRW versus resistance around 4,700 KRW. Being close to resistance is not enough when base and structure are absent."
031510,오스템,KOSDAQ,COMMON,2026-08-14,transition,candidate,33.37012536074708,1171.0,32788000000.0,327.88,28000000,96420103.15,0.96,90869322.0,151717283.35,1.52,119250986.5,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"Monthly decline end is ambiguous. Base ambiguous. Long MAs falling. Still doing bottom work. Current around 1,170 KRW. Near resistance around 1,400 KRW, with bigger long term resistance around 2,000 KRW. Closer to BASE."
033560,블루콤,KOSDAQ,COMMON,2026-08-14,early_trend,candidate,97.99849587607686,4580.0,78318000000.0,783.18,17100000,416647521.45,4.17,396868435.0,269975891.3666667,2.7,214935210.5,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,This is closer to an internal rebound within a long term downtrend. EARLY_TREND classification is too early.
034950,한국기업평가,KOSDAQ,COMMON,2026-08-14,transition,candidate,79.059251384649,102900.0,467218890600.0,4672.19,4540514,163487102.5,1.63,116553550.0,227191320.83333334,2.27,197869400.0,20,60,True,,REVIEWED,GOOD_FIT,TOO_LATE,Monthly decline ended. Sufficient base. Long MAs rising. Historical high breakout already occurred and price is now testing support. Weekly lows rising. MAs bullishly aligned. Breakout attempt occurred in February 2026. Current structure looks like an uptrend followed by pullback. Pattern A itself is very good. TRANSITION is one stage too slow. EARLY_TREND is more natural.
035610,솔본,KOSDAQ,COMMON,2026-08-14,transition,candidate,58.41288782816228,5040.0,137823824880.0,1378.24,27345997,348016531.9,3.48,359791247.5,296271710.7,2.96,216443522.5,20,60,True,,REVIEWED,BORDERLINE,TOO_EARLY,"Monthly decline ended. Base exists. MAs tangled. Current around 5,040 KRW versus long resistance around 5,000 KRW. Monthly location is interesting. But weekly lows are lower. Weekly MAs remain bearish although improving. Recent breakout attempt is the first meaningful one in a long time. Need confirmed 5,000 KRW support, rising lows, and MA improvement before calling this a true TRANSITION. Important lesson: Touching or crossing resistance alone does not equal TRANSITION."
036000,예림당,KOSDAQ,COMMON,2026-08-14,transition,candidate,78.30929172318774,2825.0,65071832525.0,650.72,23034277,104031994.3,1.04,76700335.0,169971008.53333333,1.7,127964585.0,20,60,True,,REVIEWED,NOT_FIT,TOO_LATE,"Monthly decline may have ended. Base ambiguous. MA direction ambiguous. Current around 2,825 KRW versus resistance around 4,100 KRW. Weekly lows oscillate. MAs were previously bullish but MA20 is now declining. Previous breakout failed to establish support. This is not a current transition. It is a weakened structure after an earlier upward attempt. Old transition recycle type."
036190,금화피에스시,KOSDAQ,COMMON,2026-08-14,transition,candidate,79.02322876809335,34250.0,205500000000.0,2055.0,6000000,163262031.25,1.63,148061162.5,321088164.5833333,3.21,286761287.5,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly decline ended. Sufficient base. MAs tangled. Still in bottom work. Weekly lows rising. MA structure is transitioning bullishly, though still weak. Strong resistance remains overhead. Pattern is incomplete but base maturity, rising lows, and weekly MA improvement are already present. Appropriate TRANSITION."
038390,레드캡투어,KOSDAQ,COMMON,2026-08-14,transition,candidate,78.95524892026201,9880.0,165201721360.0,1652.02,16720822,152519468.0,1.53,137418435.0,238755143.5,2.39,184802772.5,20,60,True,,REVIEWED,NOT_FIT,TOO_LATE,"Monthly long decline does not appear properly finished. No clean current base. MAs tangled. Current around 9,880 KRW versus resistance around 12,500 KRW. Weekly lows are not rising. Bullish MA alignment is breaking down. Current structure looks like weakening after a previous advance. This is another old transition or previous uptrend recycle false positive."
039420,케이엘넷,KOSDAQ,COMMON,2026-08-14,transition,candidate,66.91923890063421,2865.0,65743137810.0,657.43,22946994,117536476.75,1.18,106151485.5,151477647.55,1.51,128981775.0,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"Long term sideways box. Sufficient time exists. Long MAs tangled. Current around 2,800 KRW versus long resistance around 3,500 KRW. Weekly lows oscillate. Weekly MAs tangled. Only one resistance attempt occurred in the first half of 2025. No current directional approach. Long box alone is insufficient. Still closer to BASE."
042420,네오위즈홀딩스,KOSDAQ,COMMON,2026-08-14,transition,candidate,86.42507634179185,23950.0,195007677850.0,1950.08,8142283,223391538.75,2.23,224759712.5,279960727.5833333,2.8,246465225.0,20,60,True,,REVIEWED,BORDERLINE,TOO_EARLY,"Historical high occurred at the end of 2021, followed by decline and long box. Base maturity is ambiguous. Long MAs tangled. Current around 24,000 KRW versus resistance around 38,000 KRW. Weekly lows oscillate. Weekly MAs tangled. Currently bottoming rather than transitioning. Could eventually fit Pattern A, but transition evidence is still insufficient."
043360,디지아이,KOSDAQ,COMMON,2026-08-14,transition,candidate,69.27727478195023,2320.0,20880000000.0,208.8,9000000,18232209.25,0.18,13092085.0,91576337.4,0.92,29519602.5,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"More than 15 year box range. Current Pattern A base is not sufficiently mature. Long MAs tangled. Current around 2,300 KRW versus resistance around 3,500 KRW. Current state is bottom work. Long duration alone is not sufficient. Still closer to BASE."
045340,토탈소프트,KOSDAQ,COMMON,2026-08-14,transition,candidate,62.96498769939797,6650.0,56910966000.0,569.11,8558040,205764239.75,2.06,175881462.5,305013313.9166667,3.05,264006902.5,20,60,True,,REVIEWED,BORDERLINE,TOO_EARLY,"Historical new high in 2021 followed by decline and long box. Base maturity ambiguous. Long MAs still declining. Old resistance around 5,800 KRW was broken and is now being tested as possible support. Weekly lows are mostly stagnant. Weekly MAs tangled. Support confirmation is ambiguous. Overall structure still looks like continuation of the box. Interesting location, but true transition evidence is not strong enough yet."
049180,셀루메드,KOSDAQ,COMMON,2026-08-14,transition,candidate,0.9926656174838016,1009.0,83975227728.0,839.75,83226192,2442893984.4,24.43,1987213867.5,9350512620.066668,93.51,3739300823.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
049960,쎌바이오텍,KOSDAQ,COMMON,2026-08-14,transition,candidate,86.64093626349201,15540.0,146076000000.0,1460.76,9400000,226285990.0,2.26,154398215.0,286153196.0833333,2.86,166539230.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
050120,ES큐브,KOSDAQ,COMMON,2026-08-14,transition,candidate,90.72405605948532,3450.0,46796096700.0,467.96,13564086,36099612.05,0.36,21936900.0,68709591.63333334,0.69,24563787.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
051390,YW,KOSDAQ,COMMON,2026-08-14,transition,candidate,75.43322909493232,4165.0,47295107720.0,472.95,11355368,32827265.8,0.33,12903002.5,49087844.36666667,0.49,32561330.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
051500,CJ프레시웨이,KOSDAQ,COMMON,2026-08-14,transition,candidate,68.55327558400653,24850.0,295008912100.0,2950.09,11871586,244859498.75,2.45,227875750.0,583017122.25,5.83,385585662.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
052330,코텍,KOSDAQ,COMMON,2026-08-14,transition,candidate,86.60941839479668,12350.0,219355624150.0,2193.56,17761589,355696941.75,3.56,248671090.0,330502699.4166667,3.31,248671090.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
053060,세동,KOSDAQ,COMMON,2026-08-14,transition,candidate,62.75160172823527,1458.0,25744516902.0,257.45,17657419,75380691.6,0.75,73390885.0,167634544.85,1.68,125669395.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
053260,금강철강,KOSDAQ,COMMON,2026-08-14,transition,candidate,64.3833854412979,5710.0,106891200000.0,1068.91,18720000,5131745865.8,51.32,130609782.5,3453319970.483333,34.53,344229257.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
053350,이니텍,KOSDAQ,COMMON,2026-08-14,transition,candidate,22.232516437537335,3780.0,83239625700.0,832.4,22021065,374012790.15,3.74,326783960.0,300086344.5833333,3.0,239559495.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
065690,파커스,KOSDAQ,COMMON,2026-08-14,transition,candidate,67.8340938294043,1630.0,22900409530.0,229.0,14049331,123918954.85,1.24,70595243.0,63414858.88333333,0.63,34702360.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
066620,국보디자인,KOSDAQ,COMMON,2026-08-14,transition,candidate,86.18730685579848,25200.0,189000000000.0,1890.0,7500000,162477935.0,1.62,87510475.0,289392837.5,2.89,237314712.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
067290,JW신약,KOSDAQ,COMMON,2026-08-14,transition,candidate,61.355045793436254,2100.0,117677916300.0,1176.78,56037103,26905484100.5,269.05,21958997770.0,29418157490.616665,294.18,8799829367.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
068930,디지털대성,KOSDAQ,COMMON,2026-08-14,transition,candidate,72.46632654862577,8060.0,223063256520.0,2230.63,27675342,257842230.0,2.58,172662075.0,285410439.5833333,2.85,223815720.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
069510,에스텍,KOSDAQ,COMMON,2026-08-14,transition,candidate,73.68964114203825,12560.0,137029600000.0,1370.3,10910000,52893631.5,0.53,44859390.0,152306420.41666666,1.52,106965842.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
071200,인피니트헬스케어,KOSDAQ,COMMON,2026-08-14,early_trend,candidate,91.53986221405818,10480.0,255674879840.0,2556.75,24396458,826287128.0,8.26,571809452.5,823044009.0833334,8.23,522240940.0,20,60,True,,REVIEWED,BORDERLINE,TOO_EARLY,"Could become a good Pattern A if resistance is broken, supported, and price reaccelerates. Current location is interesting but still slightly too early for EARLY_TREND."
072870,메가스터디,KOSDAQ,COMMON,2026-08-14,transition,candidate,79.9176098082185,13330.0,158906383470.0,1589.06,11920959,271033370.5,2.71,260802840.0,362038862.3333333,3.62,319224317.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
073560,우리손에프앤지,KOSDAQ,COMMON,2026-08-14,transition,candidate,71.28965867119265,1555.0,107664534865.0,1076.65,69237643,207643427.25,2.08,193168254.0,242408500.2,2.42,194541451.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
079960,동양이엔피,KOSDAQ,COMMON,2026-08-14,transition,candidate,61.029125800409,21150.0,159717566700.0,1597.18,7551658,577063974.0,5.77,541965205.0,780761406.6666666,7.81,597402680.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
080010,이상네트웍스,KOSDAQ,COMMON,2026-08-14,transition,candidate,82.02137595196386,8100.0,79664075100.0,796.64,9835071,65405026.0,0.65,44765345.0,55686105.75,0.56,38888695.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
086060,진바이오텍,KOSDAQ,COMMON,2026-08-14,early_trend,candidate,73.81157812590835,4700.0,40469758900.0,404.7,8610587,112124013.7,1.12,102211522.5,146301072.0,1.46,118263897.5,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,Needs significantly more time. Still closer to base formation than the beginning of a major uptrend.
086450,동국제약,KOSDAQ,COMMON,2026-08-14,transition,candidate,62.06252850327488,19720.0,891943882400.0,8919.44,45230420,5721636298.25,57.22,4265485197.5,7312345591.416667,73.12,5865521195.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
086820,바이오솔루션,KOSDAQ,COMMON,2026-08-14,transition,candidate,69.18016557582644,6670.0,172913646950.0,1729.14,25924085,524020894.25,5.24,389787025.0,771358510.0833334,7.71,562767887.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
091590,남화토건,KOSDAQ,COMMON,2026-08-14,transition,candidate,68.16826751981839,6380.0,74901200000.0,749.01,11740000,7851155836.4,78.51,2213742149.5,10384931994.9,103.85,2367258102.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
091970,LSK아이로봇,KOSDAQ,COMMON,2026-08-14,transition,candidate,80.43881197795497,4095.0,30854924100.0,308.55,7534780,402441320.2,4.02,387911416.5,995451943.85,9.95,425661079.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
092130,이크레더블,KOSDAQ,COMMON,2026-08-14,transition,candidate,75.05542014698484,14380.0,173186968000.0,1731.87,12043600,64007007.0,0.64,54476520.0,102527421.66666667,1.03,85513695.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
094840,슈프리마에이치큐,KOSDAQ,COMMON,2026-08-14,early_trend,candidate,54.8917019724657,12460.0,122184118140.0,1221.84,9806109,653081194.75,6.53,485661995.0,572168107.25,5.72,505632087.5,20,60,True,,REVIEWED,GOOD_FIT,TOO_LATE,Pattern A itself is very good. The problem is timing. Current EARLY_TREND detection is late. Ideal detection would have been around early April 2026.
096530,씨젠,KOSDAQ,COMMON,2026-08-14,transition,candidate,100.0,32150.0,1679065707100.0,16790.66,52225994,8618154613.75,86.18,6808960187.5,9089401508.333334,90.89,7788058375.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
101680,한국정밀기계,KOSDAQ,COMMON,2026-08-14,transition,candidate,61.92613985646941,2685.0,22564740000.0,225.65,8404000,71167957.95,0.71,65357637.0,99344035.61666666,0.99,67299837.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
112290,와이씨켐,KOSDAQ,COMMON,2026-08-14,transition,candidate,53.40156476324752,11320.0,228902738800.0,2289.03,20221090,1226042477.75,12.26,1081221305.0,3960726672.4166665,39.61,1913230277.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
114450,그린생명과학,KOSDAQ,COMMON,2026-08-14,transition,candidate,60.89223219878391,2260.0,45200000000.0,452.0,20000000,310040223.95,3.1,269259678.5,1799780801.5666666,18.0,345212419.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
121440,골프존홀딩스,KOSDAQ,COMMON,2026-08-14,early_trend,candidate,97.07617195846515,7180.0,307568353240.0,3075.68,42836818,1998570380.5,19.99,1570838275.0,2139355691.9166667,21.39,672352990.0,20,60,True,,REVIEWED,BORDERLINE,UNCLEAR,"Could be near a starting point, but support is not yet confirmed. Interesting watch candidate, but current stage remains ambiguous."
122350,삼기,KOSDAQ,COMMON,2026-08-14,transition,candidate,13.856962204740771,1667.0,63911826476.0,639.12,38339428,7827711910.35,78.28,3789361356.5,8336008285.416667,83.36,2056739516.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
123330,제닉,KOSDAQ,COMMON,2026-08-14,transition,candidate,52.06896551724138,27300.0,217544964000.0,2175.45,7968680,9289205841.25,92.89,7159021050.0,6627105137.916667,66.27,5032158725.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
130580,나이스디앤비,KOSDAQ,COMMON,2026-08-14,transition,candidate,67.57451021367767,5470.0,84238000000.0,842.38,15400000,42706966.5,0.43,24999227.5,44275861.166666664,0.44,32791090.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
134060,이퓨쳐,KOSDAQ,COMMON,2026-08-14,transition,candidate,52.44813540736829,4960.0,23655480000.0,236.55,4769250,32853624.2,0.33,28003740.0,66399293.68333333,0.66,49708045.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
140860,파크시스템스,KOSDAQ,COMMON,2026-08-14,transition,candidate,85.90560980041481,279500.0,1957190085500.0,19571.9,7002469,9971275325.0,99.71,8789251500.0,12953959437.5,129.54,11020585875.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
141000,비아트론,KOSDAQ,COMMON,2026-08-14,transition,candidate,69.59670961469271,9150.0,110849596500.0,1108.5,12114710,284856685.5,2.85,231290445.0,521319414.0833333,5.21,385836260.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
145020,휴젤,KOSDAQ,COMMON,2026-08-14,transition,candidate,68.15267805704775,256000.0,3203884288000.0,32038.84,12515173,13543220600.0,135.43,12191976500.0,13881671726.816668,138.82,13754407500.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
189330,씨이랩,KOSDAQ,COMMON,2026-08-14,transition,candidate,64.56004257386357,17770.0,166723186680.0,1667.23,9382284,8147543351.25,81.48,4339681247.5,7888339869.916667,78.88,2503915990.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
192440,슈피겐코리아,KOSDAQ,COMMON,2026-08-14,transition,candidate,76.29075294860378,28400.0,176544709200.0,1765.45,6216363,322808671.25,3.23,160881400.0,370954160.4166667,3.71,225868050.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
196170,알테오젠,KOSDAQ,COMMON,2026-08-14,transition,candidate,58.6795528833766,314000.0,16826111702000.0,168261.12,53586343,149665685975.0,1496.66,127484176875.0,173697115095.83334,1736.97,158547998875.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
204620,글로벌텍스프리,KOSDAQ,COMMON,2026-08-14,transition,candidate,82.10736042369744,5250.0,368987482500.0,3689.87,70283330,3579878624.1,35.8,3107895420.0,4808845214.0,48.09,3772582012.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
226400,오스테오닉,KOSDAQ,COMMON,2026-08-14,transition,candidate,64.29292613641655,4780.0,98762452780.0,987.62,20661601,543020270.0,5.43,472965416.0,732418449.35,7.32,565706753.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
241710,코스메카코리아,KOSDAQ,COMMON,2026-08-14,transition,candidate,50.73280348808488,127200.0,1358496000000.0,13584.96,10680000,19620115417.5,196.2,8048413125.0,10992462408.333334,109.92,6474653600.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
251970,펌텍코리아,KOSDAQ,COMMON,2026-08-14,transition,candidate,52.308165872360206,53000.0,657200000000.0,6572.0,12400000,4720762177.5,47.21,3494152425.0,2990069645.0,29.9,1836801362.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
264660,씨앤지하이테크,KOSDAQ,COMMON,2026-08-14,transition,candidate,54.31393525909659,14090.0,136971313480.0,1369.71,9721172,401790776.0,4.02,350849622.5,1016490262.5,10.16,711366270.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
286750,나노실리칸첨단소재,KOSDAQ,COMMON,2026-08-14,transition,candidate,31.38790674842688,1425.0,45641121225.0,456.41,32028857,231688765.85,2.32,224708716.0,333393306.43333334,3.33,241486117.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
332370,아이디피,KOSDAQ,COMMON,2026-08-14,transition,candidate,100.0,5480.0,72740018480.0,727.4,13273726,36331327.25,0.36,34619715.0,80403659.21666667,0.8,49772310.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
339950,아이비김영,KOSDAQ,COMMON,2026-08-14,transition,candidate,100.0,2875.0,129221633125.0,1292.22,44946655,391086340.15,3.91,290134241.0,306989631.4,3.07,262053804.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
377450,리파인,KOSDAQ,COMMON,2026-08-14,transition,candidate,54.23596332462986,13580.0,235341400000.0,2353.41,17330000,794512921.25,7.95,761793587.5,506562023.5,5.07,403105540.0,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
900070,글로벌에스엠,KOSDAQ,COMMON,2026-08-14,transition,candidate,78.56015494937081,1003.0,26952599952.0,269.53,26871984,45795945.0,0.46,34112185.0,210517910.46666667,2.11,35606999.5,20,60,True,,UNREVIEWED,UNREVIEWED,UNREVIEWED,
