ticker,entry_signal_date,entry_execution_date,entry_open,baseline_trade_id,julia_trade_id,baseline_trade_sequence,julia_trade_sequence,identity_match,identity_mismatches
034730,2024-02-23,2024-02-26,199800.0,034730_01,034730_01,1,1.0,True,
035420,2025-06-27,2025-06-30,257000.0,035420_01,035420_01,1,1.0,True,
035890,2024-09-27,2024-09-30,3046.0,035890_01,035890_01,1,1.0,True,
036190,2025-06-27,2025-06-30,33650.0,036190_01,036190_01,1,1.0,True,
036620,2025-03-28,2025-03-31,3835.0,036620_01,036620_01,1,1.0,True,
036890,2025-06-27,2025-06-30,11090.0,036890_01,036890_01,1,1.0,True,
037460,2025-01-31,2025-02-03,9210.0,037460_01,037460_01,1,1.0,True,
039340,2024-12-27,2024-12-30,6210.0,039340_01,039340_01,1,1.0,True,
042660,2023-04-21,2023-04-24,24698.0,042660_01,042660_01,1,1.0,True,
044450,2024-09-27,2024-09-30,9620.0,044450_01,044450_01,1,1.0,True,
052330,2025-03-28,2025-03-31,9130.0,052330_01,052330_01,1,1.0,True,
053350,2025-03-28,2025-03-31,9970.0,053350_01,053350_01,1,1.0,True,
054950,2025-06-27,2025-06-30,26000.0,054950_01,054950_01,1,1.0,True,
055550,2023-01-06,2023-01-09,41000.0,055550_01,055550_01,1,1.0,True,
058610,2025-01-31,2025-02-03,30500.0,058610_01,058610_01,1,1.0,True,
060980,2025-03-28,2025-03-31,35200.0,060980_01,060980_01,1,1.0,True,
064760,2025-06-27,2025-06-30,105900.0,064760_01,064760_01,1,1.0,True,
064960,2025-06-27,2025-06-30,31300.0,064960_01,064960_01,1,1.0,True,
065660,2024-12-27,2024-12-30,18600.0,065660_01,065660_01,1,1.0,True,
066570,2023-07-14,2023-07-17,124700.0,066570_01,066570_01,1,1.0,True,
066620,2025-06-27,2025-06-30,19080.0,066620_01,066620_01,1,1.0,True,
067830,2025-06-27,2025-06-30,2675.0,067830_01,067830_01,1,1.0,True,
068270,2023-12-22,2023-12-26,164237.0,068270_01,068270_01,1,1.0,True,
069460,2025-06-27,2025-06-30,9455.0,069460_01,069460_01,1,1.0,True,
069620,2022-03-18,2022-03-21,171500.0,069620_01,069620_01,1,1.0,True,
069960,2025-03-28,2025-03-31,60800.0,069960_01,069960_01,1,1.0,True,
072710,2025-06-27,2025-06-30,80600.0,072710_01,072710_01,1,1.0,True,
078930,2022-05-06,2022-05-09,47700.0,078930_01,078930_01,1,1.0,True,
079550,2023-11-10,2023-11-13,98200.0,079550_01,079550_01,1,1.0,True,
079960,2025-06-27,2025-06-30,24000.0,079960_01,079960_01,1,1.0,True,
084110,2024-09-27,2024-09-30,32550.0,084110_01,084110_01,1,1.0,True,
086280,2024-09-27,2024-09-30,124500.0,086280_01,086280_01,1,1.0,True,
086790,2023-01-06,2023-01-09,48800.0,086790_01,086790_01,1,1.0,True,
088350,2025-06-27,2025-06-30,3335.0,088350_01,088350_01,1,1.0,True,
089970,2025-03-28,2025-03-31,11200.0,089970_01,089970_01,1,1.0,True,
090350,2025-06-27,2025-06-30,9070.0,090350_01,090350_01,1,1.0,True,
090850,2025-06-27,2025-06-30,6550.0,090850_01,090850_01,1,1.0,True,
092230,2025-06-27,2025-06-30,66800.0,092230_01,092230_01,1,1.0,True,
092730,2025-06-27,2025-06-30,13940.0,092730_01,092730_01,1,1.0,True,
095610,2025-06-27,2025-06-30,25600.0,095610_01,095610_01,1,1.0,True,
096530,2025-06-27,2025-06-30,32900.0,096530_01,096530_01,1,1.0,True,
097520,2025-01-31,2025-02-03,22800.0,097520_01,097520_01,1,1.0,True,
099430,2024-12-27,2024-12-30,7190.0,099430_01,099430_01,1,1.0,True,
102710,2025-03-28,2025-03-31,25200.0,102710_01,102710_01,1,1.0,True,
105560,2023-01-06,2023-01-09,57300.0,105560_01,105560_01,1,1.0,True,
108380,2025-01-31,2025-02-03,14900.0,108380_01,108380_01,1,1.0,True,
109740,2025-06-27,2025-06-30,7310.0,109740_01,109740_01,1,1.0,True,
111770,2025-03-28,2025-03-31,48050.0,111770_01,111770_01,1,1.0,True,
112610,2024-09-27,2024-09-30,70000.0,112610_01,112610_01,1,1.0,True,
114810,2025-06-27,2025-06-30,9350.0,114810_01,114810_01,1,1.0,True,
122870,2025-03-28,2025-03-31,61100.0,122870_01,122870_01,1,1.0,True,
127120,2024-12-27,2024-12-30,5730.0,127120_01,127120_01,1,1.0,True,
139130,2025-01-31,2025-02-03,9100.0,139130_01,139130_01,1,1.0,True,
140860,2024-12-27,2024-12-30,208000.0,140860_01,140860_01,1,1.0,True,
145020,2023-12-01,2023-12-04,154700.0,145020_01,145020_01,1,1.0,True,
145990,2025-06-27,2025-06-30,51400.0,145990_01,145990_01,1,1.0,True,
183190,2025-06-27,2025-06-30,12270.0,183190_01,183190_01,1,1.0,True,
183300,2025-06-27,2025-06-30,37791.0,183300_01,183300_01,1,1.0,True,
192080,2025-06-27,2025-06-30,56900.0,192080_01,192080_01,1,1.0,True,
200670,2024-09-27,2024-09-30,34200.0,200670_01,200670_01,1,1.0,True,
204320,2025-01-31,2025-02-03,43000.0,204320_01,204320_01,1,1.0,True,
204620,2025-01-31,2025-02-03,3840.0,204620_01,204620_01,1,1.0,True,
207940,2022-07-29,2022-08-01,1261285.0,207940_01,207940_01,1,1.0,True,
214150,2022-12-02,2022-12-05,19750.0,214150_01,214150_01,1,1.0,True,
226400,2024-09-27,2024-09-30,6070.0,226400_01,226400_01,1,1.0,True,
241560,2025-03-28,2025-03-31,50500.0,241560_01,241560_01,1,1.0,True,
251120,2025-06-27,2025-06-30,21400.0,251120_01,251120_01,1,1.0,True,
267290,2025-06-27,2025-06-30,20500.0,267290_01,267290_01,1,1.0,True,
271560,2022-12-02,2022-12-05,115500.0,271560_01,271560_01,1,1.0,True,
272210,2023-06-30,2023-07-03,14800.0,272210_01,272210_01,1,1.0,True,
274090,2025-01-31,2025-02-03,14840.0,274090_01,274090_01,1,1.0,True,
285490,2025-01-31,2025-02-03,19610.0,285490_01,285490_01,1,1.0,True,
300720,2025-01-31,2025-02-03,15100.0,300720_01,300720_01,1,1.0,True,
306200,2025-01-31,2025-02-03,135500.0,306200_01,306200_01,1,1.0,True,
310200,2025-06-27,2025-06-30,4535.0,310200_01,310200_01,1,1.0,True,
316140,2023-01-27,2023-01-30,13460.0,316140_01,316140_01,1,1.0,True,
352820,2025-01-31,2025-02-03,221500.0,352820_01,352820_01,1,1.0,True,
383800,2025-06-27,2025-06-30,9430.0,383800_01,383800_01,1,1.0,True,
950170,2025-06-27,2025-06-30,6500.0,950170_01,950170_01,1,1.0,True,
